Time_ms;Coronal;Sagital;Transversal;1;2
266;-0.09740291299729731;0.16478853427653659;0.17688254772586492;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303081;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240617;
287;-0.2750210837754741;0.16478853427653659;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303081;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240658;
307;-0.2750210837754741;0.16478853427653659;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303081;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240699;
328;-0.2750210837754741;0.16478853427653659;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303081;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240740;
348;-0.2750210837754741;0.16478853427653659;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303081;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240781;
369;-0.2750210837754741;0.16478853427653659;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303122;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240781;
389;-0.2750210837754741;0.16478853427653659;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303163;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240781;
410;-0.2750210837754741;0.16478853427653659;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303204;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240781;
430;-0.2750210837754741;0.16478853427653659;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303204;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240822;
451;-0.2750210837754741;0.16478853427653659;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303245;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240822;
471;-0.2750210837754741;0.16478853427653659;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303286;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240822;
492;-0.2750210837754741;0.16478853427653659;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.40,303327;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240822;
512;-0.8021487637120154;0.1650162125956967;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.40,303368;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240822;
533;-0.8021487637120154;0.1650162125956967;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.40,303368;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240863;
553;-0.6245305929338386;0.1650162125956967;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.40,303368;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240904;
574;-0.6245305929338386;0.1650162125956967;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.40,303409;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240904;
594;-0.8021487637120154;0.1650162125956967;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.40,303409;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240945;
615;-0.8021487637120154;0.1650162125956967;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.40,303409;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240986;
635;-0.8021487637120154;0.1650162125956967;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.40,303450;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240986;
656;-0.8021487637120154;-0.35874802608418127;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303491;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,240986;
676;-0.6245305929338386;-0.35874802608418127;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303491;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241027;
697;-0.6245305929338386;-0.35874802608418127;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303491;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241068;
717;-0.09740291299729731;-0.35874802608418127;0.17688254772586492;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,303532;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241068;
737;-0.09740291299729731;-0.35874802608418127;0.17688254772586492;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,303532;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241108;
748;-0.09740291299729731;-0.35874802608418127;0.17688254772586492;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,303532;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241129;
